Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200809,AK,4473,988,117,,103,488,149,107,91,2430,198,1461,2814,26,11,0,,2,9,4,0,0,0,0,26,0
20200809,AL,101334,30405,26613,,371,,,,5209,38734,6401,46600,48332,1768,897,709,,4,,,,36,122,52,1454,261
20200809,AR,49383,25178,10569,,686,143,2220,,6351,4236,11081,38302,0,544,319,147,,8,2,35,,33,0,48,496,0
20200809,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
20200809,AZ,186923,33934,4539,47028,1599,10289,,,4593,84941,47028,54954,84941,4150,1631,127,1189,49,481,,,70,603,1189,2358,603
20200809,CA,554160,61932,15502,213410,19659,842,2097,3046,47023,190649,213410,150101,190649,10293,2988,830,4692,1226,39,48,57,124,289,4692,5312,289
20200809,CO,50660,17378,2349,18193,1004,269,179,634,383,10265,18193,22196,10265,1763,1110,117,397,57,12,5,23,7,30,397,1331,30
20200809,CT,50320,17712,6575,9538,716,48,,158,311,15262,9538,25520,15262,4441,3256,656,384,48,2,,34,20,41,384,4016,41
20200809,DC,12753,2512,6283,,189,29,33,,3322,385,3265,7629,1859,591,63,437,77,8,,,,6,0,77,514,0
20200809,DE,15575,5337,3961,3941,211,,,,759,1366,3941,10268,1366,591,364,150,42,1,,,,8,26,42,523,26
20200809,FL,532806,115548,75929,140521,,,,,30473,170335,140521,183156,209129,8315,3848,1585,2044,,,,,342,496,2044,5293,978
20200809,GA,216596,50566,54274,27438,2663,132,203,,5649,75671,27438,93818,95340,4199,1924,1855,256,69,4,7,,23,61,256,3849,94
20200809,GU,412,37,,,120,,112,,119,24,,,,5,,,,,,,,,5,,,5
20200809,HI,3498,307,24,,580,,756,,58,1773,,,,31,,,,,,,,,31,,,
20200809,IA,48841,33213,3419,,2442,488,488,,488,8303,9280,32237,7815,931,743,41,,25,5,12,,4,99,63,754,113
20200809,ID,24671,11658,269,,189,171,70,883,2797,8634,4300,8351,12019,237,217,3,,2,2,,,4,9,26,202,9
20200809,IL,195380,48130,31453,56904,4970,262,428,,7160,46073,56904,92403,46073,7845,3425,2081,1579,362,10,9,,51,328,1579,5938,119
20200809,IN,74328,35864,8322,,906,,,,11763,17473,7625,26207,40496,3041,1838,398,,16,,,,377,412,60,1467,1514
20200809,KS,30638,20142,2280,,1023,203,,,1705,5285,9976,14038,6624,380,272,67,,9,3,,,18,11,59,304,17
20200809,KY,34982,16877,2865,,516,98,41,1389,,13196,2933,19276,12773,773,578,105,,10,0,,18,,62,27,655,91
20200809,LA,131399,37524,41962,,5120,260,133,,9557,36843,,,131399,4263,1931,1960,,29,4,5,,20,314,81,3686,496
20200809,MA,121040,37842,11254,24061,2546,,,,6675,38662,24061,58317,38662,8735,6578,722,607,222,,,,551,55,607,8073,55
20200809,MD,95503,20895,29841,23781,1726,,,,4191,15069,23781,56653,15069,3585,1523,1465,408,135,,,,36,18,408,3159,18
20200809,ME,4042,2493,892,,105,7,2,29,121,393,168,3228,646,125,111,4,,,,,,0,10,0,105,20
20200809,MI,96726,41400,24000,,1828,391,,6406,5827,16874,7738,62871,26116,6519,3409,2563,,79,18,,99,124,227,130,5410,977
20200809,MN,60898,28108,12631,,3676,540,125,1035,6752,8031,11382,39281,10235,1698,1321,162,,74,32,3,22,27,57,77,1556,65
20200809,MO,58927,27696,11785,,,,,2357,2357,14732,5362,35403,18154,1307,772,427,,,,,10,49,48,47,1104,155
20200809,MP,48,,,,,,,,,48,,,,2,,,,,,,,,2,,,
20200809,MS,66646,20669,27866,2156,220,1219,,,5246,9797,2156,39898,25119,1874,801,916,27,1,79,,,24,48,27,1642,227
20200809,MT,4952,2555,24,,14,560,,,40,1759,195,2873,1884,75,23,,,,11,,,,41,,,
20200809,NC,136218,55951,23982,,1694,1526,249,,16177,36639,35145,53256,47817,2168,1207,651,,29,30,4,,148,99,214,1752,202
20200809,ND,7596,,,,,,,,,7596,,,,98,,,,,,,,,98,,,
20200809,NE,28432,16900,1700,,1300,294,42,,1700,6496,10100,11100,7232,345,261,24,,18,10,0,,12,20,77,225,43
20200809,NH,6831,4382,342,785,181,,,,248,893,785,5153,893,419,388,9,11,4,,,,1,6,11,402,6
20200809,NJ,184773,41950,19478,34875,5792,,,,12838,69840,34875,80058,69840,15874,8455,2815,3138,866,,,,287,313,3138,12423,313
20200809,NM,22315,3016,412,9332,145,7774,,,,1636,9332,11347,1636,685,98,4,59,1,236,,,,287,59,339,287
20200809,NV,56230,10726,2889,12870,2581,180,,,6487,20497,12870,22863,20497,957,338,82,128,91,5,,,11,302,128,527,302
20200809,NY,420860,,,,,,,,,420860,,,,28364,8675,6383,6721,1694,,,,1841,3050,6721,18593,3050
20200809,OH,100848,50817,24670,,2600,140,167,2795,6503,13156,6346,70626,23876,3669,2829,693,,41,3,1,46,24,32,85,3538,46
20200809,OK,43566,23741,2982,,1854,3877,,,1729,9383,8447,23411,11708,603,438,38,,15,59,,,20,33,41,493,69
20200809,OR,21272,8383,732,,616,494,441,421,6973,3212,8048,10024,3200,356,232,9,,16,7,6,3,33,50,43,250,63
20200809,PA,118852,40001,16280,,1708,,,,1376,59487,9588,28068,81196,7314,5243,1545,,158,,,,351,17,431,6866,17
20200809,PR,22121,,,,,,,,,22121,,,,279,,,,,,,,,279,,,
20200809,RI,19738,5304,1797,6647,,,,,545,5445,6647,7646,5445,1014,669,52,89,,,,,14,190,89,735,190
20200809,SC,100435,32915,25434,,748,,,,5984,34603,8071,45202,47160,2031,919,721,,18,,,,54,336,69,1426,534
20200809,SD,9605,4201,1040,1233,731,1490,,,910,0,1233,8372,0,146,86,2,5,5,35,,,13,0,5,141,0
20200809,TN,122712,55187,23066,,1085,150,84,,17556,25584,19175,66653,36884,1223,712,406,,15,4,2,,72,12,105,1102,16
20200809,TX,486362,11056,6106,16035,722,,,,177,452266,16035,18061,452266,8459,2735,1086,4386,190,,,,58,4,4386,4069,4
20200809,UT,44127,17830,1058,16679,978,955,1846,,5352,4845,16679,22603,4845,336,172,6,77,18,29,17,,26,15,77,244,15
20200809,VA,100086,23623,18554,27438,2938,111,,485,2376,24561,27438,48087,24561,2326,1258,575,252,126,2,,2,34,77,252,1997,77
20200809,VI,528,,,,,,,,,528,,,,9,,,,,,,,,9,,,
20200809,VT,1459,1202,166,,54,2,,,28,7,53,1402,4,58,54,,,2,,,,1,1,0,57,1
20200809,WA,63072,15379,2357,17976,2064,689,1099,1054,911,21543,17976,23553,21543,1688,1118,57,217,132,39,26,18,35,46,217,1425,46
20200809,WI,64835,40612,9135,,1899,622,,,6045,6522,14862,41586,8387,1005,715,214,,30,10,,,19,17,121,857,27
20200809,WV,7694,5980,575,,,,,,707,432,,,,139,58,3,,,,,,,78,,,
20200809,WY,3050,1512,30,423,20,407,7,,144,630,423,2120,630,28,12,0,2,0,13,,,0,1,2,25,1
